PLAYER;AGE;GP;W;TS.PCT;USG.PCT;POSS;3PTS.PCT;FG.PCT;PTS;REB;AST;TOV;STL;BLK;EFF;SALARY
John Collins;24;54;26;61;20.2;3423;41.3;51.5;4.8;4.6;1.5;0.4;0.6;0.3;9.4;23
Danilo Gallinari;33;66;35;57.9;18.2;3471;38;39.4;5.9;2.5;1;0.7;1;0.6;7.1;20.48
Bogdan Bogdanovic;29;63;33;56.2;21.2;3818;36.8;43.1;15.1;4;3.1;1.1;1.1;0.2;14.9;18
Clint Capela;28;74;40;60.4;14.9;4257;0;61.3;11.1;11.9;1.2;0.6;0.7;1.3;21.2;17.6
Delon Wright;30;77;42;57.6;10.1;2991;30.3;46;9;5.6;1.5;1.8;0.7;0.4;11.1;8.53
Trae Young;23;76;40;60.3;33.3;5550;38.2;46;28.4;3.7;9.7;4;0.9;0.1;27.2;8.33
De'Andre Hunter;24;53;28;54.7;19.4;3294;35.9;45.6;5.3;2.9;1;0.3;0.6;0.1;7;7.78
Onyeka Okongwu;21;48;26;71.4;13.7;2043;0;69;8.2;5.9;1.1;0.9;0.6;1.3;14.2;6.1
Kevin Knox II;23;74;40;57;16.9;4570;27.8;36.5;3.1;1.5;0.3;0.2;0.1;0.1;2.9;5.85
Lou Williams;35;56;33;50;21.5;1659;36.3;39.1;6.3;1.6;1.9;0.8;0.5;0.1;5.9;5
Kevin Huerter;33;55;36;63.4;31;4311;38.9;45.4;12.1;3.4;2.7;1.2;0.7;0.4;12.4;4.25
Gorgui Dieng;32;44;23;62.4;16.4;779;42.6;47.3;3.5;2.8;0.8;0.5;0.3;0.3;5.7;4
Jalen Johnson;20;22;14;59;18.3;265;34.7;34.8;4.6;1.7;0.8;0.5;0.2;0;3.8;2.66
Solomon Hill;31;13;7;20;6.4;287;15.4;15;0.6;1.8;0.9;0.1;0.3;0.2;2.4;2.39
Timothe Luwawu-Cabarrot;27;52;30;55.6;13.5;1467;36.1;39.8;4.4;1.6;0.8;0.4;0.3;0.1;4.5;1.94
Wes Iwundu;27;3;2;55.7;11.1;165;60;44.4;7.3;4.3;0;0.3;0.3;0;8;1.93
Kevin Durant;21;48;22;51.6;13.2;2075;38.3;51.8;29.9;7.4;6.4;3.5;0.9;0.9;31.6;42.02
Kyrie Irving;36;63;41;60;17.8;4364;41.8;46.9;27.4;4.4;5.8;2.5;1.4;0.6;25.6;35.33
Blake Griffin;33;56;29;51.8;16.7;2030;26.2;42.5;6.4;4.1;1.9;0.6;0.5;0.3;9;32.41
Goran Dragic;36;21;10;47.4;16.6;1062;25.4;37.7;7.5;3.1;4.1;1.6;0.9;0.2;9.4;19.35
Joe Harris;30;14;10;62.4;14.6;904;34.7;40.4;7.2;2.9;3.5;1;0.5;0.1;9.4;17.36
Seth Curry;31;64;38;61.5;18.2;4311;42.2;48.7;15;3.1;3.6;1.7;0.8;0.2;14.9;8.21
Patty Mills;20;17;9;63.7;13.9;872;40;40.8;11.4;1.9;2.3;0.9;0.6;0.2;9.6;5.89
Bruce Brown;25;72;37;57.5;14.6;3690;40.4;50.6;9;4.8;2.1;0.8;1.1;0.7;13;4.74
James Johnson;35;62;30;51.3;13.6;2440;31.8;40.4;3.8;1.1;1.5;0.8;0.4;0.2;4;2.64
LaMarcus Aldridge;20;75;39;55.4;27.1;5200;30.4;55;12.9;5.5;0.9;0.9;0.3;1;15.1;2.64
Andre Drummond;28;73;42;57.4;18.1;2957;0;57;7.9;9.3;1.8;1.6;1.1;0.9;15.9;2.4
Cam Thomas;20;67;32;51.9;21.2;2476;33.3;66.7;11.5;3;1.5;0;0.5;0.5;14;2.04
Day'Ron Sharpe;20;32;12;59.3;20.5;812;28.6;57.7;6.2;5;0.5;0.9;0.3;0.5;9.1;2.01
Nic Claxton;23;47;24;67.2;15;2033;0;67.4;8.7;5.6;0.9;0.8;0.5;1.1;13.3;1.78
Jayson Tatum;24;76;49;57.8;31.3;5578;11.1;30.8;2.1;2;1.1;0.6;0.6;0.1;3.3;28.1
Al Horford;36;69;46;57.4;14.7;4096;33.6;46.7;10.2;7.7;3.4;0.9;0.7;1.3;17.9;27
Jaylen Brown;25;66;43;57.4;29.8;4563;36;48.9;14.7;12;2.4;1.1;0.9;0.7;21.9;26.76
Derrick White;27;75;40;54.9;19.6;4589;31.2;42.1;13.2;3.5;4.9;1.6;0.9;0.8;15.1;15.68
Marcus Smart;28;71;47;54;17.9;4737;23.5;47.4;10.8;2.7;5.5;2.2;1.1;0.3;12.8;13.84
Daniel Theis;30;47;20;59.5;16.2;2040;38.1;43.4;11.7;4.7;1.5;0.6;0.4;0.2;12.5;8.28
Robert Williams III;24;61;40;74.5;11.2;3666;0;73.6;10;9.6;2;1;0.9;2.2;21.7;3.66
Aaron Nesmith;22;52;32;50.7;16.4;1196;27;39.6;3.8;1.7;0.4;0.6;0.4;0.1;3.6;3.63
Enes Freedom;30;35;20;58.5;12.9;847;40;52.6;3.7;4.6;0.2;0.6;0.1;0.4;7;2.64
Grant Williams;23;77;49;63.5;12.3;3832;41.1;47.5;7.8;3.6;1;0.8;0.5;0.7;9.8;2.62
Payton Pritchard;27;9;2;43.2;10.6;333;41.2;42.9;6.2;1.9;2;0.6;0.4;0.1;7;2.14
Gordon Hayward;32;49;26;57;20.2;3352;39.1;45.9;15.9;4.6;3.6;1.7;1;0.4;16.6;29.93
Terry Rozier;28;73;38;56.6;22.7;5175;37.4;44.4;19.3;4.3;4.5;1.3;1.3;0.3;19.2;17.91
Kelly Oubre Jr.;31;40;13;56.1;20.7;1623;34.5;44;15;4;1.1;0.9;1;0.4;12.9;12
Montrezl Harrell;28;71;36;68;19.8;3383;23.5;64.5;13.1;6.1;2;1;0.4;0.6;17.2;9.72
Mason Plumlee;32;73;40;60.3;11.7;3771;31.3;50;5.7;2.3;1.1;0.6;1.7;1.1;8.9;9.25
LaMelo Ball;24;63;35;54.4;16.9;2066;38.9;42.9;20.1;6.7;7.6;3.3;1.6;0.4;23.2;8.23
Miles Bridges;24;80;41;59.3;22.4;5975;25;29.6;2.2;1.1;1;0.1;0.4;0;2.6;5.42
P.J. Washington;23;65;33;58.8;15.4;3742;36.5;47;10.3;5.2;2.3;1.3;0.9;0.9;13.6;4.22
James Bouknight;21;31;15;45.9;22.6;654;33.3;36;3.8;2.5;0.5;0.4;0;0.5;4.4;4.15
Kai Jones;23;21;14;52.1;14.1;491;50;64.3;1;0.5;0.2;0.3;0;0.1;0.9;2.77
Cody Martin;26;71;41;57.9;12;3895;38.4;48.2;7.7;4;2.5;0.9;1.2;0.5;11.5;1.78
Jalen McDaniels;24;55;34;59.5;15.2;1882;37.5;45.8;4.1;1.7;0.4;0.3;0.3;0.3;4.6;1.78
Nick Richards;24;50;25;68.9;14.7;785;0;66.7;3;1.7;0.3;0.5;0.2;0.4;4.2;1.52
DeMar DeRozan;32;76;43;59;30.8;5723;37.4;40.4;10.8;4.5;2.7;1.5;1.4;0.5;12.3;26
Nikola Vucevic;31;73;41;53.3;24.4;5000;31.4;47.3;17.6;11;3.2;1.9;1;1;23.2;24
